alpha1,beta,target_objective,total_energy_demand,total_smooth
0.8,0.19999999999999996,60,63.80474135468009,22.186057519936025
0.8,0.19999999999999996,70,60.13414867427717,14.267948164166143
0.8,0.19999999999999996,80,47.121489376072226,10.139494040037777
0.8,0.19999999999999996,90,43.034817655015296,9.203211940615674
0.8,0.19999999999999996,100,25.74127053259074,5.612499006645641
0.9,0.09999999999999998,0,102.41065020695797,80.97855664021102
0.9,0.09999999999999998,10,88.40034748402482,60.105229786848476
0.9,0.09999999999999998,20,86.47203565292799,40.25390852829165
0.9,0.09999999999999998,30,83.08781822160526,36.94483463964638
0.9,0.09999999999999998,40,82.96781156479298,35.039284254257225
0.9,0.09999999999999998,50,85.87764413799937,27.446261707508423
0.9,0.09999999999999998,60,77.22146961714,22.88203314640442
0.9,0.09999999999999998,70,63.694583713350156,14.881653911098143
